oficina,departamento,horario_atencion,dias_de_apertura,dias_de_cierre,direccion,indicativo,telefono,numero_telefonico_no_1,numero_telefonico_no_2,numero_telefonico_no_3,numero_telefonico_no_4,numero_telefonico_no_5,numero_telefonico_no_6,column14,column15,column16,column17
YOPAL,CASANARE,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 22 NO. 7-59,98,6349223 - 6358049 - 7349223 - 6357804 - 6359618,6349223,6358049,7349223,6357804,6359618,,,,,
JUNIN,CUNDINAMARCA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CARRERA 4 NO.3-29,91,8536040 - 8533040,8536040,8533040,,,,,,,,
SANTA ROSA DE OSOS,ANTIOQUIA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 30 B NO. 29-70 LOCAL 102,94,8608122 - 8608046 - 8608198,8608122,8608046,8608198,,,,,,,
LA UVITA,BOYACÁ,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 6 NO. 6 -73,98,7895080 - 7895301,7895080,7895301,,,,,,,,
TOLUVIEJO,SUCRE,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,DIAGONAL 3 NO. 4-03/15 (CALLE SAN JOSÉ),95,2948235 - 2948194 - 2948013 - 2948180,2948235,2948194,2948013,2948180,,,,,,
AGUADAS,CALDAS,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 7 NO. 5-20,96,8514760 - 8514560 - 8514761,8514760,8514560,8514761,,,,,,,
SOPETRAN,ANTIOQUIA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 10 A NO. 8-04/06,94,854 1056  - 855 1769  - 8541572 - 8541550,8541056,8551769,8541572,8541550,,,,,,
LOS PALMITOS,SUCRE,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 6 NO.6-14,95,2922189 - 2922144,2922189,2922144,,,,,,,,
SANTA ROSA DEL SUR,BOLÍVAR,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 9 NO. 11 -40,95,5697005,5697005,,,,,,,,,
ARAUQUITA,ARAUCA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 3 NO. 4-48,97,8836210 - 8836209 - 8836043 - 8836211,8836210,8836209,8836043,8836211,,,,,,
TULUA,VALLE DEL CAUCA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 26 NO. 27 - 59 / 27 - 63,92,2255806 - 2249840 - 2244371 - 2249839 - 2259840,2255806,2249840,2244371,2249839,2259840,,,,,
CAROLINA,ANTIOQUIA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 49 NO.50-20,94,8634763 - 8634016 - 8634753 - 8634057 - 8634764,8634763,8634016,8634753,8634057,8634764,,,,,
ALBANIA,CAQUETÁ,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 4 NO. 5 -56 PARQUE PRINCIPAL - CENTRO,98,4303048 - 4303049 - 4303085,4303048,4303049,4303085,,,,,,,
VALDIVIA,ANTIOQUIA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 10 NO. 10 – 24/28 LOCAL 101,94,8360392 - 8360836 - 8360155 - 8360247,8360392,8360836,8360155,8360247,,,,,,
SAN SEBASTIAN,MAGDALENA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 5 NO.3-22,95,6898708,6898708,,,,,,,,,
